Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,3FGPG,3FGAPG,3FG%,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,ASTPG,TOPG,AST/TO Ratio
2017,Portland (WCC),False,33,11,22,33.3,33.3,36.6,-3.4,22.96969696969697,54.333333333333336,42.3,25.636363636363637,59.72727272727273,42.9,6.484848484848484,17.363636363636363,37.3,8.787878787878787,24.666666666666668,35.6,14.696969696969697,19.848484848484848,74.0,67.1,72.2,-5.1,9.848484848484848,12.848484848484848,0.77
2017,Fla. Atlantic (C-USA),False,30,10,20,33.3,35.5,39.4,-3.9,25.2,61.3,41.1,26.633333333333333,59.03333333333333,45.1,6.8,21.333333333333332,31.9,6.3,17.233333333333334,36.6,13.066666666666666,18.6,70.3,70.3,74.0,-3.8,12.3,11.6,1.06
2017,LSU (SEC),True,31,10,21,32.3,36.0,36.8,-0.8,27.516129032258064,61.064516129032256,45.1,28.93548387096774,61.25806451612903,47.2,6.32258064516129,18.838709677419356,33.6,8.935483870967742,23.35483870967742,38.3,13.451612903225806,19.322580645161292,69.6,74.8,83.0,-8.2,12.806451612903226,14.548387096774194,0.88
2017,Quinnipiac (MAAC),False,31,10,21,32.3,39.5,38.0,1.5,27.35483870967742,64.7741935483871,42.2,29.0,62.45161290322581,46.4,7.354838709677419,22.580645161290324,32.6,7.709677419354839,20.29032258064516,38.0,14.612903225806452,21.387096774193548,68.3,76.7,83.3,-6.6,14.419354838709678,14.451612903225806,1.0
2017,Milwaukee (Horizon),False,35,11,24,31.4,31.7,33.6,-1.9,24.571428571428573,55.714285714285715,44.1,25.457142857142856,54.714285714285715,46.5,7.771428571428571,22.34285714285714,34.8,7.628571428571429,21.62857142857143,35.3,10.142857142857142,15.371428571428572,66.0,67.1,71.3,-4.2,13.342857142857143,11.971428571428572,1.11
2017,Delaware St. (MEAC),False,32,10,22,31.3,33.0,38.5,-5.5,24.4375,58.28125,41.9,25.4375,57.0625,44.6,8.21875,22.71875,36.2,8.53125,24.34375,35.0,11.21875,17.03125,65.9,68.3,75.0,-6.7,13.40625,13.625,0.98
2017,Bethune-Cookman (MEAC),False,32,10,22,31.3,35.4,40.0,-4.6,26.25,63.15625,41.6,27.6875,59.03125,46.9,7.125,22.25,32.0,7.03125,21.0,33.5,11.46875,17.3125,66.2,71.1,77.8,-6.7,14.0,12.90625,1.08
2017,Duquesne (Atlantic 10),False,32,10,22,31.3,36.5,37.3,-0.9,24.53125,57.34375,42.8,26.34375,60.1875,43.8,7.0625,21.15625,33.4,7.40625,20.65625,35.9,14.375,21.25,67.6,70.5,74.3,-3.8,12.53125,14.1875,0.88
2017,Colgate (Patriot),False,32,10,22,31.3,32.4,32.8,-0.4,23.28125,52.90625,44.0,24.4375,54.125,45.2,8.46875,22.875,37.0,7.875,21.0,37.5,12.0,17.71875,67.7,67.0,71.0,-4.0,12.9375,14.6875,0.88
2017,UTRGV (WAC),False,32,10,22,31.3,36.8,39.8,-2.9,27.15625,64.0625,42.4,27.625,58.78125,47.0,8.625,25.65625,33.6,7.46875,20.46875,36.5,15.34375,21.40625,71.7,78.3,83.3,-5.0,15.125,15.84375,0.95
